groupId,word
adventure-group,adventure
adventure-group,adventurous
adventure-group,adventurer
alcohol-group,alcohol
alcohol-group,alcoholic
alcohol-group,alcoholism
alien-group,alien
alien-group,alienate
alien-group,alienation
among-group,among
approach-group,approach
approach-group,approachable
arrive-group,arrive
arrive-group,arrival
avoid-group,avoid
avoid-group,avoidable
avoid-group,avoidance
bad-group,bad
bad-group,badly
balance-group,balance
balance-group,balanced
balance-group,unbalanced
bike-group,bike
bike-group,biker
bike-group,biking
boat-group,boat
boat-group,boater
boat-group,boating
breakfast-group,breakfast
camera-group,camera
camera-group,cameraman
camera-group,camerawork
capital-group,capital
capital-group,capitalize
capital-group,capitalism
capital-group,capitalist
carefully-group,carefully
carefully-group,careful
carefully-group,carelessness
catch-group,catch
catch-group,catcher
chart-group,chart
chart-group,charting
chemical-group,chemical
chemical-group,chemistry
chemical-group,chemist
choose-group,choose
choose-group,choice
choose-group,chosen
cloud-group,cloud
cloud-group,cloudy
concern-group,concern
concern-group,concerned
concern-group,unconcerned
content-group,content
content-group,contented
content-group,contentment
create-group,create
create-group,creation
create-group,creative
create-group,creator
describe-group,describe
describe-group,description
describe-group,descriptive
doctor-group,doctor
doctor-group,doctoral
duck-group,duck
duck-group,duckling
during-group,during
enjoy-group,enjoy
enjoy-group,enjoyable
enjoy-group,enjoyment
evil-group,evil
evil-group,evilness
ever-group,ever
experiment-group,experiment
experiment-group,experimental
experiment-group,experimenter
expect-group,expect
expect-group,expectation
expect-group,expectancy
fail-group,fail
fail-group,failure
football-group,football
football-group,footballer
frequently-group,frequently
frequently-group,frequent
frequently-group,frequency
fun-group,fun
fun-group,funny
fun-group,funniest
game-group,game
game-group,gamer
game-group,gaming
grade-group,grade
grade-group,grading
grade-group,gradable
habit-group,habit
habit-group,habitual
heart-group,heart
heart-group,heartfelt
heart-group,heartless
instruct-group,instruct
instruct-group,instruction
instruct-group,instructor
instruct-group,instructional
instead-group,instead
invite-group,invite
invite-group,invitation
invite-group,inviting
issue-group,issue
issue-group,issued
kilometer-group,kilometer
kill-group,kill
kill-group,killer
kill-group,killing
laboratory-group,laboratory
laboratory-group,lab
laugh-group,laugh
laugh-group,laughter
library-group,library
library-group,librarian
life-group,life
life-group,lively
life-group,liveliness
loud-group,loud
loud-group,loudly
love-group,love
love-group,lover
love-group,lovely
love-group,loving
month-group,month
month-group,monthly
nervous-group,nervous
nervous-group,nervousness
noise-group,noise
noise-group,noisy
none-group,none
often-group,often
patient-group,patient
patient-group,patience
patient-group,patiently
photograph-group,photograph
photograph-group,photographer
photograph-group,photography
photograph-group,photographic
planet-group,planet
planet-group,planetary
plenty-group,plenty
plenty-group,plentiful
positive-group,positive
positive-group,positivity
project-group,project
project-group,projector
project-group,projection
punish-group,punish
punish-group,punishment
punish-group,punishable
report-group,report
report-group,reporter
report-group,reporting
represent-group,represent
represent-group,representation
represent-group,representative
scare-group,scare
scare-group,scary
secret-group,secret
secret-group,secretive
secret-group,secrecy
shake-group,shake
shake-group,shaky
shake-group,shaken
shape-group,shape
shape-group,shapely
shout-group,shout
shout-group,shouting
smell-group,smell
smell-group,smelly
solve-group,solve
solve-group,solution
solve-group,solvable
spread-group,spread
spread-group,spreading
stroll-group,stroll
stroll-group,stroller
suddenly-group,suddenly
suddenly-group,sudden
suppose-group,suppose
suppose-group,supposed
suppose-group,supposition
terrible-group,terrible
terrible-group,terribly
travel-group,travel
travel-group,traveler
travel-group,traveling
typical-group,typical
typical-group,typically
understand-group,understand
understand-group,understanding
understand-group,understood
view-group,view
view-group,viewer
view-group,viewpoint
village-group,village
village-group,villager
visit-group,visit
visit-group,visitor
visit-group,visitation
weather-group,weather
weather-group,weathered
week-group,week
week-group,weekly
weight-group,weight
weight-group,weigh
weight-group,weighty
wine-group,wine
wine-group,winery
wine-group,wineglass
agree-group,agree
agree-group,agreement
agree-group,disagree
agree-group,disagreement
age-group,age
age-group,aging
age-group,aged
active-group,active
active-group,activity
active-group,activate
adult-group,adult
adult-group,adulthood
appropriate-group,appropriate
appropriate-group,appropriately
appropriate-group,appropriation
golf-group,golf
golf-group,golfer
increase-group,increase
increase-group,increasing
increase-group,increased
apart-group,apart
attribute-group,attribute
attribute-group,attribution
attribute-group,attributive
bilingual-group,bilingual
complete-group,completely
complete-group,complete
complete-group,completion
dash-group,dash
dash-group,dashing
disgust-group,disgust
disgust-group,disgusted
disgust-group,disgusting
fashion-group,fashion
fashion-group,fashionable
fashion-group,unfashionable
foreign-group,foreign
foreign-group,foreigner
gulf-group,gulf
mirror-group,mirror
nature-group,natural
nature-group,naturalist
nature-group,naturalism
nature-group,unnatural
nowadays-group,nowadays
participate-group,participant
participate-group,participate
participate-group,participation
ritual-group,ritual
speak-group,spoken
speak-group,speak
speak-group,speaker
speak-group,speech
sport-group,sport
sport-group,sporty
surprise-group,surprised
surprise-group,surprising
surprise-group,surprise
tense-group,tense
tense-group,tension
total-group,totally
total-group,total
vague-group,vague
vague-group,vagueness
allow-group,allow
allow-group,allowance
announce-group,announce
announce-group,announcement
beside-group,beside
challenge-group,challenge
challenge-group,challenging
claim-group,claim
condition-group,condition
condition-group,conditional
contribute-group,contribute
contribute-group,contribution
contribute-group,contributor
differ-group,difference
differ-group,different
differ-group,differ
differ-group,differently
divide-group,divide
divide-group,division
expert-group,expert
expert-group,expertise
fame-group,famous
fame-group,fame
force-group,force
force-group,forceful
harm-group,harm
harm-group,harmful
harm-group,harmless
lay-group,lay
peace-group,peace
peace-group,peaceful
prince-group,prince
prince-group,princess
prince-group,principality
protect-group,protect
protect-group,protection
protect-group,protective
protect-group,protector
sense-group,sense
sense-group,sensitive
sense-group,sensation
sense-group,senseless
sudden-group,sudden
sudden-group,suddenly
therefore-group,therefore
accept-group,accept
accept-group,acceptable
arrange-group,arrange
arrange-group,arrangement
attend-group,attend
attend-group,attention
attend-group,attentive
chase-group,chase
contrast-group,contrast
contrast-group,contrasting
encourage-group,encourage
