wordKey,exp
"agree","Do you [agree] [that] we need to learn English?"
"agree","I [agree] [with] you that we need to learn English."
"agree","We [agreed] [on] learning English every day."
"agree","We [agree] [about] the importance of learning English."
"agree","After hearing his argument, I [couldn't] [agree] more."
"alcohol","She smelled the cup to see if the kids were drinking [alcohol]."
"alcohol","It's dangerous if you [drink] alcohol and then [drive] a car."
"alcohol","In the bar, he ordered an [alcohol]-[free] drink."
"arrive","They [arrived] [in] China about 3 AM."
"arrive","She arrived [at] the airport [too] late to say goodbye to him."
"arrive","By the time we [arrive] there, it'll be [pitch] dark."
"boat","There were some [boats] on the lake."
"boat","They got to the island [by] boat."
"boat","When one of them got tired, the other one [rowed] the boat."
"boat","They decided to [take] a boat [trip] and have some fun."
"breakfast","She asked them what they would like [for] [breakfast]."
"breakfast","I had a [hearty] breakfast this morning."
"camera","She loved photography, but she had forgotten to bring her [camera]."
"camera","The [security] camera captured everything that happened at the office."
"capital","The White House is located in the US [capital]."
"capital","The [capital] of China is Beijing."
"catch","He accidentally knocked the glass but managed to [catch] it before [hitting] the ground."
"catch","She was tipsy and about to fall, but he [caught] hold of her arm [just] in time."
"catch","The seabird plunged into the ocean and [caught] its prey."
"catch","The [escalator] caught her dress and ripped it [off]."
"catch","His last [punch] caught his face."
"catch","Can you repeat? I didn't [catch] what you said."
"catch","She'd been waiting outside [without] her coat and caught [pneumonia]."
"catch","The barn was [struck] by lightning and caught [fire]."
"catch","The sunlight caught his [eyes] and woke him [up]."
"catch","The captain commanded the deckhands to open the [sails] to [catch] the wind."
"catch","He was taking money from the cashier's desk when she [caught] him in the [act]."
"duck","A [duck] and its [ducklings] were walking toward a pond."
"enjoy","That was a great movie and I really [enjoyed] it."
"enjoy","Do you enjoy [learning] English?"
"invite","He wanted to [invite] his friends [to] a party."
"invite","She invited him to go with them [on] a family [vacation]."
"invite","They invited them [for] a barbecue [on] the weekend."
"love","She [loves] her children and is doing anything to [support] them."
"love","At the end of the conversation, he asked him to [send] his love to the [family]."
"love","He [fell] madly [in] love with her but wasn't sure if his love was [returned]."
"love","She was [the] love of his life."
